ID;Name;Description;Coding
C1;C1M_School closing;Closings of schools and universities;0 - no measures +1 - recommend closing or all schools open with alterations resulting in significant differences compared to non-Covid-19 operations +2 - require closing (only some levels or categories, eg just high school, or just public schools) +3 - require closing all levels
C2;C2M_Workplace closing;Closings of workplaces;0 - no measures 1 - recommend closing (or recommend work from home) or all businesses open with alterations resulting in significant differences compared to non-Covid-19 operation 2 - require closing (or work from home) for some sectors or categories of workers 3 - require closing (or work from home) for all-but-essential workplaces (eg grocery stores, doctors)
C3;C3M_Cancel public events;Cancelling public events;0 - no measures +1 - recommend cancelling +2 - require cancelling
C4;C4M_Restrictions on gatherings;Cut-off size for limits on gatherings;0 - no restrictions +1 - restrictions on very large gatherings (the limit is above 1000 people) +2 - restrictions on gatherings between 101-1000 people +3 - restrictions on gatherings between 11-100 people +4 - restrictions on gatherings of 10 people or less
C5;C5M_Close public transport;Closing of public transport;0 - no measures +1 - recommend closing (or significantly reduce volume/route/means of transport available) +2 - require closing (or prohibit most citizens from using it)
C6;C6M_Stay at home requirements;"Orders to ""shelter-in-place"" or ""confine to the home""";0 - no measures +1 - recommend not leaving house +2 - require not leaving house with exceptions for daily exercise, grocery shopping, and 'essential' trips +3 - require not leaving house with minimal exceptions (eg allowed to leave once a week, or only one person can leave at a time, etc)
C7;C7M_Restrictions on internal movement;Restrictions on internal movement between cities/regions;0 - no measures +1 - recommend not to travel between regions/cities +2 - internal movement restrictions in place
C8;C8EV_International travel controls;Restrictions on international travel for foreign travelers;0 - no restrictions +1 - screening arrivals +2 - quarantine arrivals from some or all regions +3 - ban arrivals from some regions +4 - ban on all regions or total border closure
E1;E1_Income support;Income support;0 - no income support +1 - government is replacing less than 50% of lost salary +2 - government is replacing 50% or more of lost salary
H1;H1_Public information campaigns;Public information campaign;0 - no Covid-19 public information campaign +1 - public officials urging caution about Covid-19 +2- coordinated public information campaign 
H2;H2_Testing policy;Testing policy;"0 - no testing policy +1 - only those who both have symptoms and meet specific criteria (eg key workers, admitted to hospital, returned from overseas) +2 - testing of anyone showing Covid-19 symptoms +3 - open public testing (eg ""drive through"")"
H3;H3_Contact tracing;Contact tracing;"0 - no contact tracing +1 - limited contact tracing; not done for all cases +2 - comprehensive contact tracing; done for all"
H7;H7_Vaccination policy;Vaccination Policy;0 - No availability +1 - Availability for ONE of following: key workers/ clinically vulnerable groups (non elderly) / elderly groups +2 - Availability for TWO of following: key workers/ clinically vulnerable groups (non elderly) / elderly groups +3 - Availability for ALL of following: key workers/ clinically vulnerable groups (non elderly) / elderly groups +4 - Availability for all three plus partial additional availability (select broad groups/ages) +5 - Universal availability
H8;H8M_Protection of elderly people;Protection of elderly people;0 - no measures +1 - Recommended isolation, hygiene, and visitor restriction measures and/or elderly people to stay at home +2 - Narrow restrictions for isolation, hygiene, some limitations on external visitors and/or restrictions protecting elderly people at home +3 - Extensive restrictions for isolation and hygiene in, all non-essential external visitors prohibited, and/or all elderly people required to stay at home